"list_no","name","age","nominate_party","member_party","occupation","residence","abs_votes","pct_votes","rank","mandate","party","region"
"10","Beránek Jaroslav  Mgr. ","56","OS","BEZPP","středoškolský učitel","Plzeň","111","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"30","Beránek Václav  Mgr. ","48","OS","BEZPP","ekonom","Plzeň","40","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"2","Bursík Petr   ","54","OS","BEZPP","starosta Stříbra","Stříbro","377","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"27","Buřič Josef  PhDr. CSc.","65","OS","BEZPP","učitel","Strašice","50","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"11","Čurka František   ","48","OS","BEZPP","starosta Halže","Halže","124","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"45","Dezort Karel   ","39","OS","BEZPP","invalidní důchodce","Strašice","5","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"18","Dohányosová Marie   ","59","OS","BEZPP","starostka Částkova","Částkov","61","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"3","Drhovský Karel  Ing. ","58","OS","BEZPP","ředitel Památ.ústavu","Plzeň","235","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"36","Fiala Jiří   ","55","OS","BEZPP","částeč. inv.důchodce","Planá","28","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"33","Gerneschová Jana   ","50","OS","OS","podnikatelka","Tachov","27","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"14","Hájek Josef   ","50","OS","OS","invalidní důchodce","Holýšov","30","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"25","Hegner Jiří  Ing. ","64","OS","BEZPP","vysokoškolský učitel","Rokycany","41","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"8","Hlávka Petr  Ing. ","52","OS","OS","zást.řed. gymnázia","Rokycany","130","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"34","Kabelka Petr  Mgr. ","59","OS","BEZPP","středoškolský učitel","Rokycany","41","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"31","Klimeš Lukáš  Bc. ","24","OS","OS","student VŠE Praha","Tachov","87","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"39","Klimešová Jarmila   ","57","OS","OS","úřednice živn.úřadu","Tachov","54","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"35","Koželuhová Jaroslava   ","58","OS","OS","důchodkyně","Plzeň","11","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"6","Kubíková Magdaléna  Mgr. ","32","OS","BEZPP","VŠ učitelka","Zruč-Senec","114","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"16","Kydlíček Jiří  Ing. ","50","OS","BEZPP","nezávislý ekolog","Plzeň","91","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"1","Kydlíček Lumír  Ing. arch. ","49","OS","BEZPP","vedoucí projektant","Stod","109","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"5","Lerch Jan  Mgr. Ing. ","35","OS","OS","advokát","Holýšov","127","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"23","Malá Blanka   ","39","OS","OS","podnikatelka-pohost.","Stráž","28","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"26","Myslíková Dagmar   ","35","OS","BEZPP","vedoucí odb. kultury","Holýšov","44","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"4","Nerad František  Ing. ","49","OS","OS","stavební inženýr","Strašice","101","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"13","Pešek Pavel  MUDr. ","67","OS","BEZPP","lékař-chirurg","Rokycany","147","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"9","Pokorný Karel   ","37","OS","BEZPP","invalidní důchodce","Hrádek","27","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"46","Ratajová Anna  Mgr. ","54","OS","BEZPP","ředitelka ZŠ","Rokycany","39","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"15","Rosůlek Oldřich  Ing. ","59","OS","BEZPP","středoškolský učitel","Druztová","51","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"22","Rosůlek Přemysl  Mgr. ","29","OS","BEZPP","vysokoškolský učitel","Druztová","73","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"17","Schröpfer Libor   ","37","OS","BEZPP","středoškolský učitel","Holýšov","137","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"20","Soulek Jan  Mgr. ","32","OS","BEZPP","starosta Bezdružic","Bezdružice","127","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"43","Svíbová Marcela   ","35","OS","BEZPP","v domácnosti","Přimda","13","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"24","Šebesta Richard  Mgr. ","34","OS","BEZPP","středoškolský učitel","Plzeň","64","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"37","Šmíd Martin   ","34","OS","BEZPP","technik","Strašice","14","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"42","Šmídová Hana  Ing. ","47","OS","BEZPP","geodet","Strašice","16","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"28","Terela Jan   ","39","OS","BEZPP","starosta Milířů","Milíře","79","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"21","Theimerová Miluše   ","49","OS","BEZPP","podnikatelka","Zborovy","13","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"40","Tomáš Milan   ","44","OS","BEZPP","strážník Měst.pol.","Rokycany","35","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"29","Tydlitátová Věra  Mgr. ","41","OS","OS","výtvarnice","Rokycany","41","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"32","Valachovič Jiří  Mgr. ","36","OS","BEZPP","vysokoškolský učitel","Holýšov","135","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"38","Veselá Věra   ","58","OS","BEZPP","učitelka","Tachov","61","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"19","Veverka Antonín  Ing. Mgr. CSc.","51","OS","BEZPP","VŠ učitel,podnikatel","Rokycany","121","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"12","Vrátník Vlastimil   ","42","OS","OS","starosta Ždírce","Ždírec","40","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"44","Vrba Jiří   ","42","OS","BEZPP","podnikatel","Strašice","9","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"7","Zeithaml Jaromír   ","51","OS","BEZPP","starosta Třemošné","Třemošná","217","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"41","Zelenka Jiří   ","45","OS","BEZPP","řezník a uzenář","Tachov","37","0.00",NA,NA,"Strana pro otevřenou společnost","Plzeňský kraj"
"26","Absolonová Kateřina  MUDr. ","34","OS","BEZPP","lékařka","Liberec","260","2.60"," ","21","Strana pro otevřenou společnost","Liberecký kraj"
"6","Bárta Karel  Mgr. ","49","OS","BEZPP","ředitel ZŠ","Turnov","534","5.34"," ","2","Strana pro otevřenou společnost","Liberecký kraj"
"21","Bernardová Soňa   ","62","OS","SŽJ","laborantka","Železný Brod","48","0.48"," ","16","Strana pro otevřenou společnost","Liberecký kraj"
"29","Bučková Eva  MUDr. ","35","OS","BEZPP","dětská lékařka","Stráž nad Nisou","94","0.94"," ","24","Strana pro otevřenou společnost","Liberecký kraj"
"10","Dušek Ladislav   ","57","OS","BEZPP","herec","Liberec","473","4.73"," ","5","Strana pro otevřenou společnost","Liberecký kraj"
"13","Frydrych Michal  Ing ","27","OS","SŽJ","zemědělský inženýr","Pěnčín","390","3.90"," ","8","Strana pro otevřenou společnost","Liberecký kraj"
"38","Golka Petr  Doc. RNDr. ","61","OS","BEZPP","prorektor TU","Liberec","423","4.23"," ","33","Strana pro otevřenou společnost","Liberecký kraj"
"46","Grůza Stanislav   ","61","OS","BEZPP","technik","Liberec","28","0.28"," ","41","Strana pro otevřenou společnost","Liberecký kraj"
"8","Helšusová Dagmar   ","49","OS","OS","knihovnice","Liberec","1 776","17.76","*","2","Strana pro otevřenou společnost","Liberecký kraj"
"23","Hrdá Michaela  Ing. ","36","OS","BEZPP","bankéřka","Liberec","70","0.70"," ","18","Strana pro otevřenou společnost","Liberecký kraj"
"43","Hron Michal  RNDr. ","51","OS","OS","daňový poradce","Liberec","236","2.36"," ","38","Strana pro otevřenou společnost","Liberecký kraj"
"50","Hýbler Martin   ","43","OS","BEZPP","farmář","Zásada","88","0.88"," ","45","Strana pro otevřenou společnost","Liberecký kraj"
